,Column Labels,,,,,,,,,
"Heritage Bank, National Association",1233500,1521300,4559400,1400000,2,4,3,2,8714200,11
Washington Business Bank,1550700,3453800,2294900,1393700,4,10,8,5,8693100,27
Border State Bank,,3197000,1554200,3937700,,4,3,5,8688900,12
Newtown Savings Bank,3979700,1002000,3234500,410000,11,7,7,6,8626200,31
Altra FCU,390000,2613900,1655000,3925600,3,12,7,14,8584500,36
"MVB Bank, Inc.",1166400,1368726,2143300,3874500,6,13,18,8,8552926,45
Heartland Bank and Trust Company,237500,1474700,2341800,4488600,1,7,11,19,8542600,38
Firefly FCU,1530000,5912000,385000,635000,4,6,5,5,8462000,20
"West End Bank, S.B.",,1469345,4225000,2758918,,4,1,3,8453263,8
Security Bank USA,723710,4831210,2011300,857900,9,18,23,9,8424120,59
First-Citizens National Bank,,2500000,5050000,754000,,1,3,2,8304000,6
Merrimack Valley FCU,124000,1496500,4874600,1788200,2,16,30,30,8283300,78
The Claxton Bank,,7166500,197400,915300,,3,1,1,8279200,5
FirstBank,688000,2947600,1771700,2856500,2,6,7,5,8263800,20
Forward Bank,2602900,1699100,2151200,1792600,10,11,15,8,8245800,44
The Cottonport Bank,3041500,180625,,5000000,2,1,,1,8222125,4
The First National Bank in Sioux Falls,1818500,3149300,2462000,736000,6,15,7,4,8165800,32
"Axiom Bank, National Association",4718000,1250000,,2190000,5,2,,1,8158000,8
American National Bank-Fox Cities,1695000,1672300,2314000,2444300,3,16,15,19,8125600,53
Texas Dow Empl CU,2327800,4396500,1351000,,8,14,9,,8075300,31
Kentucky Bank,536100,3434000,3447100,608500,2,3,6,11,8025700,22
Hinsdale Bank & Trust Company,2247000,2332100,3435000,,4,9,5,,8014100,18
FMS Bank,381000,1940600,740000,4949600,2,5,3,5,8011200,15
Bank of Little Rock,,3000000,,5000000,,1,,2,8000000,3
FNB Bank,,,2000000,6000000,,,1,2,8000000,3
"NexBank, SSB",3790000,,,4200000,1,,,1,7990000,2
South Story Bank & Trust,,,7828700,150000,,,3,1,7978700,4
Republic Bank of Arizona,2616700,5347000,,,2,5,,,7963700,7
Western Bank of Clovis,,3585300,935000,3441200,,4,1,3,7961500,8
Georgia Primary Bank,3080000,4405300,454800,,3,6,2,,7940100,11
The Citizens Bank of Philadelphia,4954200,2958300,,,12,14,,,7912500,26
West Central Development Corporation,1236000,2030500,2555500,2080500,16,20,25,23,7902500,84
The Union Bank Company,828000,3473200,2582100,1005200,3,5,3,2,7888500,13
Resolute Bank,,1977000,1578000,4332500,,8,10,9,7887500,27
Countybank,2075000,5776600,,,1,3,,,7851600,4
South Shore Bank,1939000,875700,2838900,2163360,10,15,35,31,7816960,91
Loan Source Incorporated,,1265000,1275000,5250000,,2,2,5,7790000,9
The First National Bank of Elmer,1835000,5939000,,,1,5,,,7774000,6
Colony Bank,1143000,2337300,1041900,3222300,2,3,3,3,7744500,11
Black Hills FCU,345200,949500,5464200,969200,3,13,16,9,7728100,41
Cape Cod Five Cents Savings Bank,1178700,1956100,2900000,1664937,14,19,21,17,7699737,71
Southern Bank,5000000,2548100,70200,75000,1,3,2,2,7693300,8
Meredith Village Savings Bank,3802400,2555400,713300,602000,6,20,16,11,7673100,53
North American Banking Company,200000,6090000,1270000,100000,2,7,5,1,7660000,15
Kennebunk Savings Bank,150000,2730800,3027800,1741500,3,22,32,11,7650100,68
Hamilton State Bank,,3571200,482400,3581100,,5,1,10,7634700,16
State Bank Northwest,1262600,1066247,1007000,4294100,3,3,1,8,7629947,15
Bank of Cordell,,,5117900,2500000,,,2,1,7617900,3
The Bank of Castile,1395500,2464600,2558500,1187500,17,30,31,16,7606100,94
Community National Bank & Trust,1657500,5662000,125000,151000,6,11,1,3,7595500,21
Armstrong Bank,2284500,2655100,2378300,262600,3,4,4,3,7580500,14
PriorityOne Bank,1400000,528000,3580000,2054200,1,3,7,4,7562200,15
Blue Hills Bank,,2500000,2690000,2345000,,1,8,6,7535000,15
"BSD Capital, LLC dba Lendistry",7007800,525000,,,38,3,,,7532800,41
Peoples Bank Midwest,680000,1815000,385000,4620000,2,6,2,10,7500000,20
WestStar Bank,550000,5311500,1020000,605000,3,10,6,4,7486500,23
Community Bank of the Chesapeake,,1225000,3371600,2865000,,2,1,2,7461600,5
The Stephenson National Bank and Trust,1792800,2826500,185000,2594600,3,12,3,12,7398900,30
Southern Michigan Bank & Trust,2365000,850300,3645000,510800,3,4,7,2,7371100,16
Commercial Bank,1251000,1263000,1868400,2963400,4,4,9,13,7345800,30
Great North Bank,2962300,992000,710100,2673000,1,1,3,5,7337400,10
Camden National Bank,240000,2500200,2492000,2091800,1,13,20,55,7324000,89
Wauchula State Bank,,4755000,2557000,,,3,1,,7312000,4
Security State Bank,,1417200,1211000,4676200,,4,10,17,7304400,31
Savings Bank of Danbury,2315000,2055000,1353800,1572400,3,10,5,6,7296200,24
First National Bank Baird dba First Bank Texas,350000,860000,3155800,2928100,1,4,13,14,7293900,32
American Business Bank,6723300,260000,300000,,16,1,1,,7283300,18
"Community Development Transportation Lending Services, Inc.",,3230500,3475300,576000,,16,18,4,7281800,38
Lone Star Bank,2397500,1876500,3000000,,3,8,4,,7274000,15
"Westfield Bank, FSB",275000,1531400,2617200,2822200,2,6,11,8,7245800,27
Citizens National Bank of Texas,275200,1630800,3301300,2028800,1,4,7,9,7236100,21
Wadena State Bank,,5569000,1309000,350000,,4,3,1,7228000,8
Peoples Security Bank and Trust Company,500000,1612500,992000,4117000,4,11,8,20,7221500,43
Partners Bank of California,5799800,1421300,,,10,1,,,7221100,11
"CFBank, National Association",442500,450000,3081476,3239800,6,4,11,1,7213776,22
Bank of Belleville,,5440500,499500,1266100,,12,2,6,7206100,20
First Security Bank,2956400,801600,2225200,1208527,6,6,7,6,7191727,25
Granite Bank,150000,1444100,3203800,2367600,2,16,25,25,7165500,68
Community Shores Bank,332400,5469000,334000,1028000,2,3,1,2,7163400,8
Home Bank of California,700000,2456300,4001000,,1,4,6,,7157300,11
First Alliance Bank,1650000,1324000,1480000,2700000,3,2,4,3,7154000,12
Salin Bank & Trust Company,650000,4832500,759000,900000,2,13,3,4,7141500,22
Sanford Institution for Savings,4150000,575000,1956000,446991,3,3,10,7,7127991,23
"Flagship Enterprise Center, Inc.",762000,2870000,2488000,1007000,6,17,17,6,7127000,46
The Riddell National Bank,1324000,1927000,953400,2889500,4,5,5,9,7093900,23
Dacotah Bank,2477300,2298020,1876000,409300,11,12,8,4,7060620,35
Vantage Bank Texas,1299000,4758700,210000,787500,3,10,1,1,7055200,15
A N E C A FCU,512700,4140000,2400000,,2,3,1,,7052700,6
Fortifi Bank,297500,2613700,2416000,1715100,4,14,9,11,7042300,38
Local Initiatives Support Corporation,474700,3380300,2915800,269900,3,22,20,3,7040700,48
AIMBank,160000,2784100,3096600,999500,1,3,3,5,7040200,12
Deerwood Bank,,3603494,1801000,1620000,,5,5,6,7024494,16
First National Bank of Michigan,1250000,4387300,945000,435000,1,16,6,4,7017300,27
Primary Bank,5932400,1030000,50000,,15,3,1,,7012400,19
Royal Banks of Missouri,,,1782270,5209700,,,1,6,6991970,7
West Valley National Bank,1000000,5395500,582500,,1,7,3,,6978000,11
Triumph Bank,685000,660000,1759000,3872500,3,4,5,6,6976500,18
The National Union Bank of Kinderhook,2617500,951000,1169000,2229000,7,3,4,8,6966500,22
Stockman Bank of Montana,785100,918200,3289800,1935800,9,13,31,19,6928900,72
EH National Bank,,,,6907000,,,,8,6907000,8
Bank of Oak Ridge,4882800,2016000,,,3,3,,,6898800,6
Lewis & Clark Bank,,205000,5587000,1086600,,3,10,5,6878600,18
Central Minnesota CU,3075700,2417700,1220000,155000,6,6,6,1,6868400,19
Queensborough National Bank and Trust Company,2269700,2272600,1717900,598000,6,14,8,6,6858200,34
Douglas National Bank,637286,4168500,2025473,,1,6,3,,6831259,10
South State Bank,,522800,3504000,2791000,,1,6,1,6817800,8
Bank of New Hampshire,597100,3484500,1310900,1419700,11,45,25,17,6812200,98
Androscoggin Savings Bank,175000,570000,5168000,897300,1,4,4,12,6810300,21
West Shore Bank,2226000,1838000,2731800,,6,4,5,,6795800,15
Capital Bank of New Jersey,1500000,630000,2360000,2275000,1,1,1,3,6765000,6
State Bank of the Lakes,340000,1510600,2035000,2850000,1,5,7,2,6735600,15
NSB Bank,191000,2355000,811100,3303500,2,5,5,6,6660600,18
Prime Security Bank,2524400,1876898,652000,1582200,3,4,3,2,6635498,12
Optima Bank & Trust Company,1658900,1545600,1606400,1823000,9,10,18,11,6633900,48
Citizens Community Federal National Association,481500,4562200,770000,820000,1,8,5,6,6633700,20
St. Mary's CU,1137200,1695600,2123400,1650000,13,46,51,26,6606200,136
"The Commercial and Savings Bank of Millersburg, Ohio",,2000000,3676700,924000,,4,10,5,6600700,19
"ShoreBank Enterprise Group, Pacific d/b/a Enterprise Cascadi",246000,2082000,2122000,2142900,2,12,14,12,6592900,40
Central National Bank,807300,2261700,1625000,1883700,6,11,8,10,6577700,35
Clatsop Community Bank,577000,2300300,2502000,1175000,7,14,12,5,6554300,38
Brookline Bank,927100,2032200,2700800,889000,11,22,27,11,6549100,71
The Bippus State Bank,4600000,140000,,1790000,2,1,,2,6530000,5
United FCU,1236800,2446600,2044600,782000,8,16,9,4,6510000,37
Lake Region Bank,495000,1298700,2789220,1851100,1,12,12,11,6434020,36
Bank of Guam,450000,1688500,1582500,2704700,2,14,23,23,6425700,62
"Northeast Entrepreneur Fund, Inc.",2310700,3934100,60000,74900,19,21,1,2,6379700,43
Illinois Bank & Trust,,5293700,282600,800000,,6,1,3,6376300,10
ACCION New Mexico,1270900,3730700,1319600,41500,16,40,16,1,6362700,73
Branson Bank,2305000,1108500,2499000,442000,5,8,7,3,6354500,23
Thomaston Savings Bank,415000,2535200,1460000,1860000,4,14,9,13,6270200,40
Country Club Bank,100000,1528500,1836900,2800700,1,11,10,8,6266100,30
Montana Community Development Corp.,890500,3081200,1513900,766200,6,22,14,5,6251800,47
"Cadence Bank, National Association",750000,750000,750000,4000000,1,1,1,1,6250000,4
Merrimack County Savings Bank,1508500,2104200,2072700,562400,13,28,21,9,6247800,71
Capital CU,896000,1653400,2184200,1495100,9,20,23,20,6228700,72
Bank of Camilla,,3030000,,3171255,,1,,1,6201255,2
Red River State Bank,3995000,517500,1220600,455400,11,4,8,4,6188500,27
Mid-Missouri Bank,901400,1980600,1792700,1503100,8,13,8,8,6177800,37
Industrial Bank,,3534400,1862000,765000,,8,7,4,6161400,19
Alliance Bank,2038000,502000,1685000,1926700,5,3,3,4,6151700,15
Pentucket Bank,1965000,3644800,35000,500000,4,5,1,1,6144800,11
Partnership Bank,2664000,1215500,1030500,1233000,4,12,9,11,6143000,36
Woodsville Guaranty Savings Bank,521000,519900,1594400,3507100,3,4,17,8,6142400,32
"South Central Bank, Inc.",,2028000,483400,3629200,,11,4,8,6140600,23
City Bank,477000,883200,2308700,2452200,3,7,14,10,6121100,34
The First National Bank of Layton,101900,2085600,3813200,102400,1,8,7,1,6103100,17
High Desert Bank,,,300000,5771000,,,1,3,6071000,4
VIST Bank,350000,1385000,2022000,2306000,1,3,5,4,6063000,13
"Traditional Bank, Inc.",920000,1476000,1731702,1930600,3,7,6,9,6058302,25
Banterra Bank,,,3555000,2500000,,,3,2,6055000,5
Platte Valley Bank,1690000,1566300,1145832,1651900,4,17,14,10,6054032,45
Town and Country Bank,400000,1900000,3009300,694000,3,8,11,5,6003300,27
Honor Bank,558600,1508226,2389060,1543500,5,9,11,17,5999386,42
Port Richmond Savings,4640000,140000,1060000,144000,4,1,3,2,5984000,10
Maple Bank,1421700,1137300,3188800,228200,8,18,18,3,5976000,47
Team One CU,,1540000,1970200,2461900,,8,8,4,5972100,20
Alamerica Bank,,1495500,2342600,2131000,,6,4,7,5969100,17
Premier Bank,356000,2403700,973000,2226000,4,15,10,14,5958700,43
Orrstown Bank,2521200,1106200,447300,1864000,2,2,2,4,5938700,10
"Magnolia Bank, Inc.",,1276600,1903500,2752600,,4,6,11,5932700,21
Middlesex Savings Bank,40000,434900,3666000,1790000,1,9,15,9,5930900,34
First U.S. Community CU,850000,2215000,1040000,1780000,4,11,5,6,5885000,26
First Federal Bank of Florida,,3682000,1309100,860400,,5,4,5,5851500,14
"SouthCrest Bank, National Association",,,866000,4974000,,,2,7,5840000,9
"Flagstar Bank, FSB",672200,2210700,2702700,250000,3,16,9,2,5835600,30
"Dollar Bank, A Federal Savings Bank",603800,1577000,2000300,1622700,9,12,27,17,5803800,65
The First National Bank of Hutchinson,5762100,,,,3,,,,5762100,3
Coosa Valley CU,,4680000,1071000,,,1,2,,5751000,3
River Cities Bank,295500,2594500,540000,2312800,4,4,3,7,5742800,18
Watertown Savings Bank,140000,3273000,1039000,1275000,3,10,7,7,5727000,27
Marine Bank & Trust Company,,3052200,1447700,1221710,,5,3,3,5721610,11
Ventura County CU,105000,4036400,975000,570600,1,14,6,9,5687000,30
Security Federal Savings Bank,565000,1522000,130500,3446800,2,2,1,3,5664300,8
The Citizens Bank,762100,3667500,392200,812500,2,6,3,2,5634300,13
"The Simsbury Bank & Trust Company, Inc.",133000,1387500,1401500,2704773,2,6,14,19,5626773,41
Eastern Maine Development Corporation,590000,684000,1801000,2524500,3,4,10,13,5599500,30
North American State Bank,3522000,1208000,272000,593700,5,6,1,2,5595700,14
First Bank of Owasso,60000,322800,1288600,3906300,1,6,6,8,5577700,21
Carter FCU,,1450000,,4125000,,2,,3,5575000,5
Northway Bank,1113500,905800,1860900,1694500,18,31,46,35,5574700,130
Inland Bank & Trust,,,,5555000,,,,2,5555000,2
Bank of Colorado,638100,1081900,2468200,1351000,2,5,4,2,5539200,13
Citizens State Bank,291800,778400,3390307,1047400,4,7,15,11,5507907,37
Springs Valley Bank & Trust Company,,4060000,833000,607800,,6,5,1,5500800,12
The First National Bank of Ballinger,527500,1184900,726200,3054900,2,8,10,4,5493500,24
1st State Bank,95200,1495000,3391400,511500,2,7,7,2,5493100,18
Grand Ridge National Bank,,2615000,450000,2425000,,3,1,3,5490000,7
Glens Falls National Bank and Trust Company,900600,1665800,1078500,1836900,8,16,15,12,5481800,51
American State Bank,107000,895000,4130400,346000,2,2,4,4,5478400,12
Opportunities CU,330000,1463500,1159100,2502000,4,14,16,24,5454600,58
People's Bank of Commerce,970000,340000,2075500,2067500,6,3,10,9,5453000,28
Equity Bank,121000,945000,1744500,2626000,1,6,6,3,5436500,16
Mega Bank,2957000,,2300000,175000,2,,2,1,5432000,5
Consumers CU,3074000,200600,616000,1523700,4,1,1,3,5414300,9
United Prairie Bank,27300,790000,1922300,2652400,1,4,7,3,5392000,15
Pointbank,350000,,4690000,351000,1,,3,1,5391000,5
Rhinebeck Bank,680000,1340700,1718400,1644271,11,14,21,12,5383371,58
Bank of Blue Valley,113000,4085956,632000,552325,1,18,2,4,5383281,25
Citizens Community Bank,,2136500,310000,2935000,,3,1,2,5381500,6
Citizens State Bank of La Crosse,440000,761100,3903449,270000,2,10,23,4,5374549,39
Chelsea State Bank,25000,2420600,150000,2770000,1,5,1,3,5365600,10
Civista Bank,660000,1810000,2507500,380200,2,4,2,2,5357700,10
Corning FCU,160000,1969200,1680700,1525900,2,10,16,14,5335800,42
TC Federal Bank,,1123600,4194500,,,2,3,,5318100,5
TLC Community CU,,3114000,2190000,,,1,2,,5304000,3
Citizens Union Bank of Shelbyville,4133000,1157700,,,4,2,,,5290700,6
City State Bank,3539800,1185000,495400,34000,3,2,3,1,5254200,9
"The Farmers Bank, Frankfort, Indiana",1393000,1531375,999700,1324800,4,4,4,10,5248875,22
Central National Bank & Trust Company of Enid,1109000,3225000,768000,139600,4,10,3,1,5241600,18
America First FCU,806600,2116800,1105300,1173000,3,15,12,3,5201700,33
"First Westroads Bank, Inc",2981600,855000,218000,1139630,1,3,2,4,5194230,10
PeoplesSouth Bank,4933200,,,250000,1,,,1,5183200,2
Opportunity Bank of Montana,300000,1796800,2810100,273800,3,10,8,7,5180700,28
The Croghan Colonial Bank,2971700,1342800,353600,512200,4,6,2,4,5180300,16
"American Bank, National Association",690000,1330000,2401200,710000,3,3,8,3,5131200,17
Century Bank,610700,1679600,100000,2740000,4,15,1,10,5130300,30
Mabrey Bank,200000,2869500,1232000,828700,2,5,2,2,5130200,11
The Pecos County State Bank,,505000,419900,4200000,,3,3,1,5124900,7
Home State Bank,348700,1014000,1075500,2668000,3,4,5,8,5106200,20
Sound CU,532000,3717100,769200,80000,3,14,13,2,5098300,32
First National Bank of Coffee County,338000,2362600,606600,1781600,1,5,5,6,5088800,17
AVB Bank,175000,644600,2902200,1363900,1,4,6,1,5085700,12
MountainOne Bank,,1165000,2237000,1678800,,3,11,15,5080800,29
"Midwest Heritage Bank, F.S.B.",970000,2608000,1485800,,2,11,2,,5063800,15
Community Bank of Georgia,,250900,4811000,,,1,1,,5061900,2
The First National Bank Bellevue,1847900,430800,1741300,1035600,4,2,8,4,5055600,18
Revere Bank,,,200000,4845800,,,1,4,5045800,5
Liberty National Bank,579000,1558800,845600,2053000,4,8,5,6,5036400,23
Bank of Newington,315000,1554500,528000,2636100,1,4,1,4,5033600,10
Bank of Franklin County,3392500,534500,1031700,60000,2,1,2,1,5018700,6
The Bank of Commerce,1749000,1642800,1342300,280000,6,6,7,3,5014100,22
The Lamesa National Bank,,5000000,,,,1,,,5000000,1
Harbor Community Bank,,,,4990000,,,,1,4990000,1
ChoiceOne Bank,1075000,325000,3585900,,3,4,6,,4985900,13
First Federal Lakewood,404500,844000,2439000,1286000,2,1,3,1,4973500,7
Coast360 FCU,168000,775000,1282700,2741700,4,7,19,18,4967400,48
Bell Bank,261500,1382297,1690500,1631200,3,12,14,10,4965497,39
The Callaway Bank,320000,1099700,1861000,1669200,6,8,14,18,4949900,46
"Texas Republic Bank, National Association",,3678100,536000,735000,,5,2,2,4949100,9
Mountain West Small Business Finance,727900,955700,1138300,2125900,5,5,8,11,4947800,29
Hastings City Bank,1553500,2541300,446000,404000,5,18,5,5,4944800,33
Community Investment Corporation,510000,2240000,1385000,803400,5,20,11,6,4938400,42
Covenant Bank,1507500,,2050000,1375000,2,,2,6,4932500,10
First Community CU,17700,2794800,803400,1312000,1,5,10,10,4927900,26
Northern Economic Initiative Corp.,676000,1400000,1702400,1144000,5,11,11,9,4922400,36
Midland States Bank,45000,1016000,3383900,469000,2,8,7,5,4913900,22
Saratoga National Bank and Trust Company,884500,553700,2263411,1192800,6,12,13,13,4894411,44
"Appalachian Community Enterprises, Inc.",1433500,1723600,1335600,401500,8,11,9,3,4894200,31
People's Bank of Seneca,,219200,492400,4181000,,3,1,6,4892600,10
Reliance Savings Bank d/b/a Reliance Bank,1000000,680000,,3212100,2,2,,2,4892100,6
Mountain Commerce Bank,1365000,1476000,1080000,964800,2,7,8,5,4885800,22
RiverHills Bank,50000,3577000,977000,279600,1,4,6,3,4883600,14
"Clare Bank, National Association",450000,1682000,1740000,1011000,1,1,1,1,4883000,4
KS StateBank,,340100,1277700,3258600,,1,3,1,4876400,5
Peoples Trust Company of St. Albans,294600,465400,2461400,1653800,4,10,12,18,4875200,44
Mt. McKinley Bank,,,,4848835,,,,2,4848835,2
American Riviera Bank,743300,2254300,913000,938000,6,12,6,10,4848600,34
"Crystal Lake Bank & Trust Company, National Association",1478000,2975000,350000,,3,9,1,,4803000,13
First Citizens Community Bank,650000,1262000,1658500,1222500,2,5,6,9,4793000,22
Schertz Bank & Trust,295400,2760000,1680800,50000,1,2,4,1,4786200,8
Abington Bank,,,2110000,2676000,,,3,4,4786000,7
Fox Communities CU,1607000,1055500,752500,1370400,5,7,7,5,4785400,24
Westfield Bank,490000,2358600,1436000,497000,4,13,13,10,4781600,40
RiverWood Bank,,2764500,,2002000,,4,,4,4766500,8
Quad City Bank and Trust Company,950000,1437900,1798000,564500,1,8,12,5,4750400,26
PS Bank,365000,1207200,3165000,,5,7,12,,4737200,24
Redstone FCU,938000,561500,2107571,1126700,3,11,21,17,4733771,52
New Mexico Bank & Trust,1084200,1139400,763900,1746000,3,2,5,10,4733500,20
"Guaranty Bank & Trust, National Association",1680000,1070000,1168800,800000,3,2,2,1,4718800,8
The Cooperative Bank of Cape Cod,360000,80000,,4275000,5,1,,1,4715000,7
"Lake Forest Bank & Trust Company, National Association",714500,2177500,1808900,,6,10,8,,4700900,24
"CEI 7(a) Financing LLC (""C7a"")",,2023300,1665800,1000000,,4,4,1,4689100,9
The Milford National Bank and Trust Company,575000,105000,3356000,647500,2,1,8,4,4683500,15
Valley Bank of Nevada,,,3027500,1650000,,,4,3,4677500,7
The Bank of Glen Burnie,270000,1267300,2573500,520000,1,2,3,3,4630800,9
First Heritage Bank,3515000,730000,385000,,1,3,2,,4630000,6
Community Bank Mankato,290000,961400,640000,2736300,3,8,5,12,4627700,28
Foothills Community Bank,,1790900,,2777400,,3,,4,4568300,7
Dubuque Bank and Trust Company,,184200,,4380000,,1,,1,4564200,2
Eastern Michigan Bank,450000,,3204000,910000,1,,5,2,4564000,8
The First National Bank and Trust Company of Broken Arrow,,4211300,350000,,,3,1,,4561300,4
Central Bank of Boone County,150000,1560200,2543100,300000,1,5,8,2,4553300,16
Old Mission Bank,121300,1059300,1568100,1801676,2,10,16,16,4550376,44
Idaho Independent Bank,1048000,2347800,749000,404500,1,4,2,4,4549300,11
City National Bank of New Jersey,2617500,1924800,,,3,1,,,4542300,4
"Brightbridge, Inc.",863800,2338000,1076700,262000,5,15,6,2,4540500,28
St. Johns Bank and Trust Company,,2114000,1749800,673000,,4,8,2,4536800,14
Peoples Exchange Bank,,3364500,1012500,150000,,2,2,1,4527000,5
Whatcom Educational CU,1615700,1434300,1241700,233000,5,17,8,2,4524700,32
Cornhusker Bank,162000,2959500,514700,888000,3,8,4,8,4524200,23
Lafayette State Bank,,4522000,,,,2,,,4522000,2
State Bank of Chilton,177000,543200,2718600,1080000,1,1,4,2,4518800,8
Dort FCU,316000,326600,3480100,390000,1,2,5,2,4512700,10
Idaho First Bank,2029800,2143800,,337000,13,22,,4,4510600,39
Cass Commercial Bank,,1500000,1500000,1500000,,1,1,1,4500000,3
The Pueblo Bank and Trust Company,3577200,,717500,187500,2,,2,1,4482200,5
Farmers & Merchants Bank of Central California,,344700,2662000,1472700,,3,3,6,4479400,12
Newport News Shipbuilding Empl CU Inc d/b/a BayPort CU,2215000,720700,1188100,354500,4,5,9,5,4478300,23
PACE Finance Corporation,882700,1745000,1116200,730000,8,16,13,7,4473900,44
Community First Bank,553800,409000,994100,2511600,4,7,9,19,4468500,39
Franklin Savings Bank,617200,2120700,305700,1422800,6,7,3,16,4466400,32
"CNB Bank and Trust, National Association",,,,4462500,,,,1,4462500,1
Community Resource Bank,1155400,2045000,646000,616000,6,5,4,5,4462400,20
"Schaumburg Bank & Trust Company, National Association",250000,1370000,935000,1907000,2,9,2,6,4462000,19
Springfield First Community Bank,,3760000,695000,,,4,2,,4455000,6
Premier Bank Minnesota,532500,1792000,1761400,343000,6,13,14,2,4428900,35
Continental National Bank,100000,875000,1945000,1504400,1,9,12,8,4424400,30
Quaint Oak Bank,977700,882300,1897000,665000,2,5,3,3,4422000,13
Midwest Bank National Association,1467662,939700,1321900,678200,6,10,7,4,4407462,27
"Colonial Savings, F.A.",232700,100000,2908500,1163000,1,1,2,4,4404200,8
Midwest BankCentre,,125000,,4274000,,1,,4,4399000,5
First Citizens State Bank,757500,894800,1400000,1338000,2,4,11,4,4390300,21
Centris FCU,272000,1938600,1212700,956700,1,7,7,8,4380000,23
BankNewport,195000,653000,2308200,1203300,3,10,37,16,4359500,66
First Commercial Bank (USA),,150000,3368000,801000,,1,4,4,4319000,9
Community First Bank of Indiana,,,2207600,2080800,,,5,5,4288400,10
Suncoast CU,505000,297400,1182500,2295400,3,4,3,11,4280300,21
First Western Bank,204800,494300,3576300,,1,2,3,,4275400,6
Bridgewater Savings Bank,,320000,1193200,2757800,,1,9,5,4271000,15
Community Savings Bank,2600000,410000,1007500,253040,1,3,2,2,4270540,8
Triangle CU,160000,2448000,1126700,524100,3,13,14,6,4258800,36
"SomerCor 504, Inc.",560000,290000,2025000,1375000,5,2,16,9,4250000,32
Chelsea Groton Bank,798000,1434500,1388000,615000,6,12,6,4,4235500,28
Old Line Bank,,,1798500,2433100,,,2,1,4231600,3
Service 1st FCU,,1118000,2556000,551000,,5,6,2,4225000,13
Alva State Bank & Trust Company,,,4220000,,,,2,,4220000,2
"Black Business Investment Fund of Central Florida, Inc.",,1094000,1981900,1114714,,5,10,7,4190614,22
"Range Bank, N.A.",115000,,30000,4018000,1,,1,2,4163000,4
The Citizens Bank of Swainsboro,,,4158000,,,,2,,4158000,2
"New Omni Bank, National Association",1365000,2785000,,,7,7,,,4150000,14
FNB New Mexico,,3341600,800000,,,1,1,,4141600,2
The Harvard State Bank,565000,1072000,2442200,62000,3,5,7,1,4141200,16
Blackhawk Bank,2970000,,,1165400,1,,,3,4135400,4
Heritage Bank of Nevada,,500000,1155000,2466000,,3,5,9,4121000,17
BankCherokee,716000,1768150,521239,1114000,6,11,8,10,4119389,35
American Exchange Bank,,1500000,,2600000,,1,,1,4100000,2
Morton Community Bank,1548000,1711000,234700,583000,9,6,4,4,4076700,23
Towne Bank,,,4070000,,,,2,,4070000,2
"Mountain Bizcapital, Inc.",1571000,2095700,396000,,16,20,3,,4062700,39
"Business Finance Group, Inc.",205000,1919600,1301900,624000,1,14,6,5,4050500,26
Town Bank,450000,1450000,2000000,132000,2,3,10,1,4032000,16
East Boston Savings Bank,740000,1876000,1411000,,2,6,5,,4027000,13
First Midwest Bank of the Ozarks,243000,2223600,1009500,550000,2,5,3,2,4026100,12
The Citizens National Bank of Meridian,,2040300,530200,1438300,,3,1,1,4008800,5
First Farmers & Merchants State Bank of Grand Meadow,,3850000,144000,,,1,1,,3994000,2
Steuben Trust Company,,1360000,1456500,1175000,,4,8,7,3991500,19
Greater State Bank,565700,1021400,,2400000,1,3,,1,3987100,5
First National Community Bank,,1005100,2980000,,,2,1,,3985100,3
CenterBank,450000,791000,1468000,1250800,2,7,8,12,3959800,29
Owen County State Bank,,2450000,345000,1140000,,3,1,1,3935000,5
Small Business Assistance Corporation,1608100,1507200,340000,478400,11,10,2,4,3933700,27
NBKC Bank,375000,205000,3350000,,2,2,2,,3930000,6
Citizens State Bank of New Castle,1220000,320000,2211906,175000,4,4,9,1,3926906,18
Franklin Synergy Bank,,,,3916000,,,,2,3916000,2
Arbor Bank,1935500,507100,1340500,121000,3,5,4,1,3904100,13
Sunrise Bank,966500,850000,1211000,868500,1,1,2,1,3896000,5
Great Southern Bank,,,546674,3343500,,,6,14,3890174,20
Prime Bank,733200,1825000,815000,514000,5,5,2,1,3887200,13
Citizens Bank & Trust Co,365000,1467600,904700,1147400,4,9,11,10,3884700,34
South Sound Bank,,833400,1603200,1445900,,1,2,4,3882500,7
Landmark Community Bank,,,3871500,,,,6,,3871500,6
ProGrowth Bank,106200,,3762000,,1,,5,,3868200,6
LincolnWay Community Bank,3850000,,,,1,,,,3850000,1
Highmark FCU,508500,2354700,283500,700000,1,5,1,1,3846700,8
"ACCION USA, Inc.",931000,2523700,366000,,9,22,4,,3820700,35
MASSACHUSETTS BUSINESS,,1400000,2400000,,,1,1,,3800000,2
Royal Savings Bank,,3800000,,,,1,,,3800000,1
Two Rivers Bank & Trust,,50000,3592500,150000,,1,4,1,3792500,6
Northern Bank and Trust Company,3090000,700000,,,5,2,,,3790000,7
Settlers Bank,,3640000,,150000,,1,,1,3790000,2
Riverview Bank,1447200,2230400,,95000,4,2,,1,3772600,7
Beverly Bank,556000,1261000,847300,1105500,7,13,6,5,3769800,31
Bank of Hazlehurst,,3765800,,,,2,,,3765800,2
Xceed Financial FCU,,1256500,2500000,,,2,1,,3756500,3
